author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@RehanAdi-c6g,"mending beli m6 pro sekarang apa nunggu m7 pro
soalnya mau beli Poco m6 pro",2024-10-21T12:18:34Z,0,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@maseko3690,Mantap nih di tunggu,2024-10-06T16:09:18Z,0,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@atkzzmlbbchanel878,"bg btw harga nya di 2jt brpa? , dan kapan rilis nya bg",2024-10-06T09:30:57Z,2,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@beruang_._,bang nanti oktober minggu ke 3 update lagi dong klo ada bocoran terbarunya,2024-10-05T22:33:34Z,0,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@hurahura5943,Anjir udah paket lengkap😂😂,2024-10-02T12:00:40Z,0,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@rullykiting6945,Sama x3 bagus mana?,2024-10-01T13:01:07Z,0,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@alitaufan1568,"Akhir nya upload M7 pro lg setelah lama gak upload, dan ini uplodan ke 6",2024-10-01T10:48:25Z,0,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@JojoMaru-e5u,Tapi poco... 😢,2024-09-30T23:57:36Z,2,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@VivoAjj-of6nz,Bang reviu oppo x3,2024-09-30T17:04:02Z,0,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@Exz-b7d,Lebih bagus mana sma x6 5g .?,2024-09-30T16:56:21Z,1,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@DangerousZombies,pertama bg😅,2024-09-30T13:53:30Z,0,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@EdelwisBule,Mantap kreeeen,2024-10-25T12:23:21Z,0,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@hurahura5943,Tunggu 5 bulan turun harga banyak😂😂,2024-08-08T08:22:22Z,0,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@Boy0295,"Sampe di indo 3,2JT 8/256",2024-07-19T05:51:57Z,2,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@nelayanpejuang4194,"Ga ada link nya, saya ga akan lihat video dari channel ini lagi.",2024-07-18T10:32:11Z,1,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@suamk7257,Mana mungkin snap 7 gen 2 cuma 2 jt an awowok😂,2024-07-18T07:22:11Z,0,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@ilhamhanafi552,"Pembohongan publik, masa harga 2,3jt dpt 7 gen 2, ga masuk akal",2024-07-18T05:59:51Z,2,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@Hadefootball,Sekalian cantumkan link Shopee nya dong min,2024-07-18T05:55:25Z,0,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@Hadefootball,Ngeri,2024-07-18T05:55:10Z,0,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@badboy-bv4su,Mdh2n bawa desain baru. yg sblm2nya mbosenin,2024-11-06T15:06:56Z,0,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@muhammadashadi1682,Ini nanti tandingnya Infinix note 50 pro,2024-10-24T22:51:42Z,0,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@Barx_gaming_BXG,Katanya Qualcomm Snapdragon 772g,2024-10-10T12:12:40Z,1,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@RullyAmrozi,"Kata siapa pake 6100+ bang.?
Bukannya Dimensity 7025 Ultra..",2024-10-06T23:11:35Z,1,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
@AxeroXRD,Untuk hp terbaik 1080p 60fps stabil dibawah 3 jutaan ada ga bg?,2024-10-06T17:53:08Z,1,POCO M7 Pro 5G,POCO,Mid-Range,Expected Late 2024
